region,district,R,F,M,total_restaurants,population,R_scaled,F_scaled,M_scaled,cluster,cluster_name,potential_score,density_weight,growth_multiplier,estimated_ltv,investment_score,marketing_investment,expected_additional_revenue,roi_ratio
경상남도,남해군,2.8003613369467026,4,0.2465720419371809,1138,32502.0,-1.1168029788606288,0.0,0.6983485243798638,0,고밀도 안정형,-0.167381781792306,1.2,1.028003613369467,1403.841734417344,1443.1543755798893,50000000,5040650.406504065,10.08130081300813
경상남도,밀양시,2.7928626842513578,4,0.12029541649042252,2650,82506.0,-1.1218513171859306,0.0,-0.13945037679491257,0,고밀도 안정형,-0.5045206775923373,1.2,1.0279286268425136,3268.8130333591935,3360.1064927858274,50000000,5027152.831652444,10.054305663304888
경상남도,사천시,4.689203925845147,4,0.10897151098762016,2880,87513.0,0.15482764858760534,0.0,-0.21458031912343056,1,저밀도 성장형,-0.023901068214330093,1.2,1.0468920392584515,3618.0588876772085,3787.7170470775577,100000000,16881134.13304253,16.88113413304253
경상남도,산청군,3.129074315514994,4,0.2369240962289232,791,26497.0,-0.8955026473009998,0.0,0.6343379580191065,0,고밀도 안정형,-0.10446587571275734,1.2,1.03129074315515,978.9011734028683,1009.5317185940922,50000000,5632333.767926989,11.264667535853977
경상남도,양산시,4.335417232943735,4,0.06465563417129686,7677,288196.0,-0.0833531277890158,0.0,-0.5085998399172175,1,저밀도 성장형,-0.23678118708249332,1.0,1.0433541723294373,8009.82998097309,8357.08953029769,100000000,13006251.698831204,13.006251698831203
경상남도,의령군,3.364485981308411,4,0.2983411047684404,553,19931.0,-0.7370158120078061,0.0,1.041817189316305,0,고밀도 안정형,0.1219205509233996,1.2,1.033644859813084,685.9267289719626,709.0046376102715,50000000,6056074.76635514,12.11214953271028
경상남도,진주시,4.6935111567068475,4,0.04282216263230037,8164,293758.0,0.15772741732186632,0.0,-0.6534568821408745,1,저밀도 성장형,-0.19829178592760327,1.0,1.0469351115670684,8547.178250833547,8948.34101562004,100000000,14080533.470120542,14.080533470120542
경상남도,창녕군,3.0303030303030303,4,0.1705122187049898,1530,49302.0,-0.9619987079712575,0.0,0.19371961065944857,0,고밀도 안정형,-0.30731163892472363,1.2,1.0303030303030303,1891.6363636363635,1948.9586776859503,50000000,5454545.454545454,10.909090909090908
경상남도,창원시 마산합포구,2.9870708872046365,4,0.08577837600665195,4620,142864.0,-0.9911040011159887,0.0,-0.3684582275099367,0,고밀도 안정형,-0.5438248914503703,1.0,1.0298707088720465,4758.002674988855,4900.127587705865,50000000,4480606.330806955,8.96121266161391
경상남도,창원시 마산회원구,3.1657872813107466,4,0.081584505944985,3715,152293.0,-0.8707862776020483,0.0,-0.3962830107340956,0,고밀도 안정형,-0.5068277153344576,1.0,1.0316578728131074,3832.608997500694,3953.941245685942,50000000,4748680.921966121,9.497361843932241
경상남도,창원시 성산구,3.415559772296015,4,0.09049518901007828,5450,206956.0,-0.7026312649516094,0.0,-0.3371639104711619,0,고밀도 안정형,-0.41591807016910853,1.2,1.0341555977229602,6763.377609108159,6994.384813973334,50000000,6148007.590132827,12.296015180265654
